Name,Breed,Location,Gender,Age,Weight,Image,Description
Dewey,Pit Bull Terrier,Boston,Male,2 Years,49.60,https://www.mspca.org/wp-content/uploads/2023/10/1-49.jpeg?1700198863," Meet Dewey! This 2 year old bowling ball is a class clown – sometimes seemingly not in control of his limbs, he can be a bit on the mischevious (but not very sneaky) side! His one-man fetch game is unmatched, although he might make his own fun without a little bit of puppy proofing and providing some toys and chewies for him to work on at home. One thing is for sure: Dewey will have you laughing every step of the way. Dewey may be able to live with another dog with a plan for slow introductions. If you think you are a good fit and would like to learn more, please click on the blue Inquire button above, fill out the form, and stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm no appointment needed to speak to a staff person regarding available dogs.
For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) theyre interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Daryl,Labrador Retriever Mix,Nevins Farm,Male,1 Years,44.75,https://www.mspca.org/wp-content/uploads/2023/10/1-13.jpeg?1700198873," Meet 1 year old lab/hound mix Daryl! Daryl was brought to us through our relocation program, so we don’t have too much history as to what his life was like prior to him coming to our shelter. However, he has spent a short period of time in a home setting where we learned he has some of the makings of house-training, and he loves to entertain himself with toys! As you might guess from his picture, Daryl is going to be a high energy dog who will require lots of work on basic manners and leash walking skills, so adopters should be ready (and excited!) for a dog that will require lots of mental and physical activity, in addition to some training. Daryl has the potential to join a home with a similarly matched dog friend, but will likely require a slow-introduction to start! Daryl is not looking for a home with cats or kids at this time as he’s still working on mastering being his best good-boy self. If you are interested in adopting this young boy who is excited about life, feel free to stop by our Methuen Adoption Center between the hours of 12PM-3PM Tuesday-Sunday"
Bozo,Pit Bull Terrier Mix,Salem,Male,1 Years,44.97,https://www.mspca.org/wp-content/uploads/2023/10/2-7.jpeg?1700198883," Meet Bozo, an energetic and exuberant young male dog ready to bring boundless joy to your life. Bozo is a bouncy ball of fur, always up for an adventure and eager to play with other dogs who share his enthusiasm for romping and having a great time. He’s a social butterfly and absolutely adores people, even if he sometimes gets a bit too enthusiastic and jumpy in his greetings. Underneath his boisterous exterior, Bozo is a truly sweet and kind-hearted soul, and his affectionate nature is bound to melt your heart. Bozo is the perfect companion for an active household, as he’s always ready for a game of fetch, a long walk, or a day at the dog park. With a little training and guidance, he’ll be the ultimate playmate for those who appreciate his vivacious spirit and affectionate demeanor. If you’re looking for a four-legged friend to share your adventures and fill your days with laughter, Bozo is the pup you’ve been searching for."
Roxy,Pit Bull Terrier,Nevins Farm,Female,6 Years,0.00,https://www.mspca.org/wp-content/uploads/2023/10/IMG_6874-768x1024.jpg?1700198893," Roxy is a beautiful 6 year old pit bull. This sweet lady is ready to find her forever home. If you’re looking for a perfect size dog who is a couch potato, Roxy is your girl! Although she is a couch potato, she does have her playful moments. She is pretty trainy and walks perfectly on a leash. She loves her slow paced, sniffy walks. While in the future she might enjoy some well-mannered walking pals, at this time Roxy would like to be the only gal in your home! Roxy also says no thank you to cats in the home. Roxy does have past history with living with older children and would need to go to a home with older children who can read and understand her body language. Roxy is a classic pittie gal with some painful skin, so her adopter will need to be prepared to have a close relationship with their veterinarian! If you’d like more information on this pretty girl, please stop by the shelter during open hours to talk to staff. Tuesday-Sunday 12-3p"
Kodiak,Siberian Husky Mix,Boston,Male,2 Years,51.81,https://www.mspca.org/wp-content/uploads/2023/10/kodiakk.jpg?1700198903," Introducing Kodiak! He’s smart, energetic, and loves to train! Kodiak is a worried guy who needs a little time to warm up to new people. Once he does he is playful and snuggly, but will need a family who can take things slowly and help him settle in at his own pace. He could live with older teens who have nice shy dog skills and can help to participate in his training, and maybe another patient dog friend. If you think you are a good fit and would like to learn more, stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm – no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Beverly,Labrador Retriever Mix,Nevins Farm,Female,1 Years,42.33,https://www.mspca.org/wp-content/uploads/2023/11/imagejpeg_0.jpg?1700198914," Wiggles, happy smiles and lots of fun when you welcome Beverly into your home! Beverly is just a year old and she traveled up from the south to find her forever family. This little lady has been through quite a few changes in a short time, so her adopters should give her plenty of time to settle in with just household members while everyone gets acquainted. It`s always best to `puppy proof` the home including a safe confinement area where she can relax when needed. She may be able to join a home with a well matched resident dog or a dog savvy cat. Any kids in the family should be older as Beverly still gets very excited and can be a bit jumpy. If you think this bundle of fun is for you, please stop by to chat with staff. Tuesday Sunday 12-3p"
Onyx,Labrador Retriever Mix,Salem,Female,4 Months,20.94,https://www.mspca.org/wp-content/uploads/2023/11/1-64.jpeg?1700198924," Meet Onyx, a vibrant and spirited puppy bursting with energy and potential. Onyx is ready to bring excitement and liveliness to your home. Like all puppies, Onyx is eager to soak up knowledge, so training is essential to harness her exuberance. With the right guidance, she’s poised to become a well-behaved and devoted companion. If you’re up for the adventure of raising a lively pup, come meet Onyx! Together, you can embark on a journey of learning, bonding, and creating cherished memories with this energetic bundle of joy by your side. Any kiddos in the home should be able to participate in her training and be comfortable around a pup that is still working on her manners. Can go home with another dog that is tolerant of playful puppy antics! Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Blue,Siberian Husky,Nevins Farm,Male,1 Years,75.62,https://www.mspca.org/wp-content/uploads/2023/11/20231108_071936-768x1024.jpg?1700198933," Are you looking for a young, active, adventure buddy? 1 year old Blue is looking and waiting for a companion who is willing to give him all the love and attention that he deserves! Blue is a dog who has experienced some separation related distress in his previous home, so he is looking for adopters who are committed to having a lifestyle that is able to best help set him up for success. Blue is a young boy and is still learning some of the basics of manners, and does really great with a positive reinforcement approach! Blue is a dog who would do best as the only pet in the home, and with older, sturdier teens who have a good grasp on dog body language. If Blue sounds like a fit for your home, please visit our Methuen Adoption Center Tuesday-Saturday 12PM-3PM!"
Maxy,Siberian Husky,Salem,Male,3 Years,50.71,https://www.mspca.org/wp-content/uploads/2023/11/1-77.jpeg?1700198944," This handsome guy is Maxy! Maxy is a sweet guy with lots of bouncy energy and loads of personality. He has some of the classic husky characteristics such as vocalizations/howling, and he loves to go for solo adventures, and has been known to escpae his yard and go for a jaunt! His new family should be ready to prioritize his safety by keeping a close eye on him when he is outside. He has a history of doing well with some young kids in his previous home, so a young family with kiddos that can respect his space as he settles in could be a great fit! This guy is super fun and absolutely STUNNING to look at, and has the makings of a great family pet. He has also done well with toher dogs here at the shelter that dont mind his goofy antics. Come see this silly guy today."
Al,Black and Tan Coonhound Mix,Salem,Male,2 Years,59.97,https://www.mspca.org/wp-content/uploads/2023/11/1-115.jpeg?1700198954," Meet Al!
This handsome guy is ready to wiggle his way into your heart. Al is looking for an adopter who will let him sniff, run, and play to his hearts content! Al has done well with some doggie playdates while here in the shelter, so a sibling could be in the cards for him. Any kiddos should be comfortable with a big goofball who is still fine tuning his manners. This guy cant help but make you smile, and is just a joy to romp around with. Come see him today!"
Nelly,Pit Bull Terrier Mix,Nevins Farm,Female,5 Years,57.54,https://www.mspca.org/wp-content/uploads/2023/11/20231104_073535-768x1024.jpg?1700198964," Meet our smushy and sweet girl Nelly! Nelly is a 5 year old dog who is energetic, smart, and loves her people! While she requires a little bit of time to get lovey with her new family, once she knows you she is sweet as a peach. Nelly is looking for adopters who are willing to give her adult-self adequate time and space to fully transition into her new home, as she’s been through a lot of change in a pretty short period of time. This means respecting her boundaries, and taking it slow while she gets to know everyone in the home. Bonus: Nelly appears to be house-trained already, but adopters should understand that in a new setting it might take her some time to always make the mark! Nelly is currently looking to go to a home where she is the only pet, but has the potential to live in a neighborhood that has dogs in it– so long as her people are diligent in how they go about doing introductions! Nelly has no known experience living with kids, but could likely do well with teens who are able to read dog body language and give her space while she settles in. If Nelly sounds like a fit for your home, feel free to stop by our Methuen Adoption Center 12PM-3PM Tuesday-Sunday!"
Charlie,Australian Cattle Dog Mix,Cape Cod,Male,1 Years,79.37,https://www.mspca.org/wp-content/uploads/2023/11/1-44.jpeg?1700198975," Meet Charlie! He is a bundle of energy, always ready to play, explore and enjoy everything life has to offer. At just a year old, Charlie still has a lot to learn, but will make an amazing companion to anyone looking for an active furry friend. While Charlie is excellent with people and other dogs, he gets too excited at times, resulting in jumping up and getting too rowdy. Charlie needs a patient and dedicated adopter who will help him learn new skills and manage his environment to help him be the best dog he can be. He could live with a tolerant, adult role-model dog to show him the ropes. Kids who are old enough to participate in training could be a good fit! If you are looking for an energetic and social pup to become your new best friend, Charlie might be the one for you! Stop by our open hours and see if you are the right match for each other."
Dahlia,German Shorthaired Pointer Mix,Nevins Farm,Female,1 Years,44.09,https://www.mspca.org/wp-content/uploads/2023/11/1-68.jpeg?1700198985," Do shy dogs just so happen to hold a special place in your heart? Dahlia is about a year and a half old and looking to reside in a quiet home with adopters who are willing to go the extra mile for a fearful, yet sweet dog! Dahlia is looking for adopters who have a confident and polite resident dog who can help her navigate the world, and teach her all the wonderful parts of being a dog. Dahlia is a dog who was brought to us as part of our relocation program, so we don’t have much history as to what her life has been like up until this point. Adopters should feel comfortable helping Dahlia with some of the basics as she settles in, and understand that a dog like her requires extra patience as the priority in taking her home should be allowing her to decompress. We have no history on if Dahlia has ever met a cat, but has the potential to live with a dog-savvy cat with a slow introduction. Dahlia is not looking to live with young kids at this time, but has the potential to live with respectful teens who can understand her desire for space. If Dahlia sounds like a match for you and your companion dog, feel free to visit our Methuen Shelter between the hours of 12PM-3PM Tuesday-Sunday!"
Luna,Siberian Husky,Cape Cod,Female,9 Months,43.65,https://www.mspca.org/wp-content/uploads/2023/11/1-107.jpeg?1700198996," Luna
10 Months Old
Spayed Female Introducing Luna, the sweetest, squishiest husky of your dreams! Luna is a teenager who is still perfecting her manners, but is a quick study and super smart! She loves to play with toys and is a professional when it comes to fetch. Once all of her needs are met, she is snuggly and is just as good at relaxing! Luna could benefit from a confident, playful dog friend, could potentially live with a dog-savvy cat, and kids who can help to participate in her training! If you think you are a good fit and would like to learn more, stop by our Cape Cod Adoption Center. We have open adoption hours Tuesday-Sunday from 1pm-4pm – no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Ben,Boxer Mix,Salem,Male,1 Years,55.12,https://www.mspca.org/wp-content/uploads/2023/11/1-116.jpeg?1700199006," Meet Ben, the lovable Boxer mix with a heart as big as his boundless energy. This sweet-natured canine companion is a delight for both dogs and people alike, radiating warmth and friendliness wherever he goes. Ben’s charm extends beyond just his human friends; he’s proven to be a gentle soul around farm animals, showcasing his adaptable and easygoing nature. Energetic and enthusiastic, Ben is the perfect sidekick for those who love an active lifestyle. As he continues to grow and explore the world, he’s still in the process of refining his manners, making each day a new opportunity for learning and improvement. If you’re ready to welcome a sweet, energetic, and ever-friendly Boxer mix into your home, Ben is eager to become a cherished member of your family, bringing joy and affection to every moment."
Reba,Labrador Retriever Mix,Salem,Female,5 Months,22.60,https://www.mspca.org/wp-content/uploads/2023/11/1-73.jpeg?1700199016," * MUST GO HOME WITH ANOTHER CANINE FRIEND 🙂 *
Meet our precious pup, still finding her paws in the world and seeking a loving home where patience and understanding abound. This nervous but incredibly sweet puppy, Reba, is on the lookout for a calm and quiet environment where she can blossom at her own pace. Respecting her need for a gentle approach, this little one requires a patient and caring family willing to give her the time and space she needs to feel secure. Once comfortable, be prepared for the emergence of a vibrant and active side to this adorable pup. With the right guidance and a tranquil setting, she transforms into a playful bundle of joy, ready to embark on countless adventures with her newfound companions. If you’re ready to open your heart to a pup who thrives on love, understanding, and a bit of patience, this little one might just be the perfect match for your home."
Ellie,Rat Terrier Mix,Nevins Farm,Female,3 Years,31.75,https://www.mspca.org/wp-content/uploads/2023/11/1-46.jpeg?1700199026," Ellie is a 3 year old dog brought to us through our relocation program! While we don’t have much knowledge on Ellie prior to her being in our care, our adoption center staff is happy to chat through all of the great things we have learned about her thus far! Ellie is a real sweetheart, and has really enjoyed her time spent around her new human friends here. She is friendly and kind, and is a pro at loose leash walking! Ellie is looking for adopters willing to have some patience to get her settled into her new home, as we don’t know that shes learned any of the basics an adult dog like her would have learned just yet like house training, crate training, basic manners in the home, etc. In the shelter, Ellie has done really great at meeting other dogs on leash and has the potential to live with a similar lowkey dog friend. While she doesn’t have a history with cats, she could potentially live with a dog-savvy cat with a slow-introduction. Again, Ellie LOVES people and could potentially live with kids, but adopters should be committed to making sure all interactions are well managed and supervised to help best set everyone up for success! If wonderful Ellie sounds like the one for you, stop by our Methuen Adoption Center 12PM-3PM Tuesday-Sunday."
Patsy,Pit Bull Terrier Mix,Salem,Female,2 Years,46.96,https://www.mspca.org/wp-content/uploads/2023/11/1-72.jpeg?1700199036," Meet Patsy, a sweet and endearing dog in search of a loving and patient home. Patsy may appear shy at first, as she is a bit nervous around new people and places, but beneath that initial reserve lies a heart full of love waiting to blossom. She is exceptionally fearful, so a patient and understanding adopter would be the perfect match for her. Patsy is not a fan of feline friends, and her comfort level with other dogs varies, as she tends to prefer the company of certain canine companions. Leash skills are a work in progress for Patsy, so a family committed to helping her build confidence in this area would be ideal. Additionally, she is still learning the ropes of potty training and would benefit greatly from a supportive and consistent environment. With time, love, and gentle guidance, Patsy is sure to transform into a loyal and devoted companion, ready to bring joy to her new home."
Doug,Labrador Retriever Mix,Salem,Male,5 Months,28.66,https://www.mspca.org/wp-content/uploads/2023/11/1-48.jpeg?1700199046," Hello, potential dog parents! Meet Doug, an adorable 6-month-old black lab puppy who’s ready to find his forever home. Doug may be young, but he has a unique personality that requires special attention, care, and love. Let’s dive into what makes Doug such a special addition to your family. Decompression Needed:
Doug has had a bit of a rough start in life, and he may need some time to adjust to his new surroundings. If you’re patient and understanding, you’ll see him blossom into the wonderful pup he is meant to be. Allow him the time and space he needs to decompress and get comfortable in his new home. Fearful/Sensitive to Changes in Environment:
Doug is a sensitive soul who gets easily overwhelmed by changes in his environment. Loud noises, unfamiliar places, and sudden movements can make him anxious. With your support, he can build confidence over time. A calm, consistent environment will help him feel safe and secure. Socialization Required:
Doug didn’t have the opportunity for proper socialization in his early months. As a result, he may be a bit shy around new people, dogs, and experiences. It’s important to slowly introduce him to different situations, other dogs, and people in a positive and controlled manner. Socialization classes and gentle exposure will help him grow into a well-adjusted, happy pup. General Handling Required:
Like any puppy, Doug is still learning about the world. He’ll need guidance and gentle handling to build his trust and confidence. This is an opportunity for you to be his loving teacher, helping him grow into a well-mannered and loving companion. What Doug Needs: A patient and understanding owner who is willing to give him the time to adjust.
A quiet and stable home environment where he can feel secure.
Positive and gradual socialization with other dogs and people.
Consistent training and lots of love and affection.
In return, Doug promises to be your loyal and loving companion, always eager to learn and share his love with you. His boundless energy and zest for life will bring joy to your days. If you are up for the rewarding journey of helping Doug overcome his challenges and watching him thrive, please consider opening your heart and home to this wonderful black lab. Together, you and Doug can create a lifetime of cherished memories and unbreakable bonds."
Chester,Labrador Retriever Mix,Salem,Male,5 Months,29.10,https://www.mspca.org/wp-content/uploads/2023/11/1-91.jpeg?1700199057," Meet Chester, a pup with an infectious spirit and an insatiable curiosity. His energy is boundless, and his goofiness is sure to bring a smile to your face. He’s a playful little guy who loves to explore his surroundings and make new friends. His friendly demeanor makes him a joy to be around, and his cuddly nature makes him the perfect snuggle buddy. Chester’s sweet personality shines through in everything he does. He’s not just a pet, but a companion who will bring endless joy and laughter into your life. Adopt Chester and experience the unconditional love and loyalty that only a pet can provide."
Sneakers,Beagle Mix,Salem,Male,5 Months,18.74,https://www.mspca.org/wp-content/uploads/2023/11/2-16.jpeg?1700199067," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Sierra,Black Mouth Cur Mix,Salem,Female,4 Months,21.27,https://www.mspca.org/wp-content/uploads/2023/11/2-17.jpeg?1700199077," Meet Sierra, a sweet and gentle soul looking for her new home. This lovely female puppy is a bundle of fur and love, with a heart as big as her adorable eyes. Sierra may be a bit shy and nervous when it comes to new people and places, but give her a little time, and you’ll witness her blossoming into a trusting and affectionate companion. Her initial hesitancy is just a testament to her sensitivity and loyalty. Once Sierra feels comfortable, she transforms into a cuddlebug, showering affection on those she holds dear. Picture the joy of coming home to a wagging tail and a warm, furry friend ready to snuggle up with you on the couch. If you’re ready to open your heart to a charming companion who thrives on familiarity and love, Sierra is the perfect match for you. Give this precious pup the chance to bloom into the confident and loving companion she’s destined to be. Adopt Sierra, and embark on a journey of shared warmth and happiness."
